17:56:32,377 INFO  [org.hibernate.cfg.Environment] Hibernate 3.3.2.GA
 17:56:32,381 INFO  [org.hibernate.cfg.Environment] hibernate.properties not found
 17:56:32,384 INFO  [org.hibernate.cfg.Environment] Bytecode provider name : javassist
 17:56:32,389 INFO  [org.hibernate.cfg.Environment] using JDK 1.4 java.sql.Timestamp handling
 17:56:32,482 INFO  [org.hibernate.cfg.Configuration] configuring from resource: /hibernate.cfg.xml
 17:56:32,482 INFO  [org.hibernate.cfg.Configuration] Configuration resource: /hibernate.cfg.xml
 17:56:32,575 INFO  [org.hibernate.cfg.Configuration] Reading mappings from resource : com/yyl/api/bean/appInfo.hbm.xml
 17:56:32,643 INFO  [org.hibernate.cfg.HbmBinder] Mapping class: com.yyl.api.bean.appInfo -> appinfo
 17:56:32,654 INFO  [org.hibernate.cfg.Configuration] Configured SessionFactory: null
 17:56:32,696 INFO  [org.hibernate.connection.DriverManagerConnectionProvider] Using Hibernate built-in connection pool (not for production use!)
 17:56:32,696 INFO  [org.hibernate.connection.DriverManagerConnectionProvider] Hibernate connection pool size: 20
 17:56:32,697 INFO  [org.hibernate.connection.DriverManagerConnectionProvider] autocommit mode: false
 17:56:32,712 INFO  [org.hibernate.connection.DriverManagerConnectionProvider] using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://localhost:3306/api_manage
 17:56:32,712 INFO  [org.hibernate.connection.DriverManagerConnectionProvider] connection properties: {user=root, password=****}
 17:56:32,970 INFO  [org.hibernate.cfg.SettingsFactory] RDBMS: MySQL, version: 5.6.19
 17:56:32,970 INFO  [org.hibernate.cfg.SettingsFactory] JDBC driver: MySQL Connector Java, version: mysql-connector-java-5.1.30 ( Revision: alexander.soklakov@oracle.com-20140310090514-8xt1yoht5ksg2e7c )
 17:56:32,988 INFO  [org.hibernate.dialect.Dialect] Using dialect: org.hibernate.dialect.MySQLDialect
 17:56:32,991 INFO  [org.hibernate.transaction.TransactionFactoryFactory] Using default transaction strategy (direct JDBC transactions)
 17:56:32,992 INFO  [org.hibernate.transaction.TransactionManagerLookupFactory] No TransactionManagerLookup configured (in JTA environment, use of read-write or transactional second-level cache is not recommended)
 17:56:32,992 INFO  [org.hibernate.cfg.SettingsFactory] Automatic flush during beforeCompletion(): disabled
 17:56:32,992 INFO  [org.hibernate.cfg.SettingsFactory] Automatic session close at end of transaction: disabled
 17:56:32,992 INFO  [org.hibernate.cfg.SettingsFactory] JDBC batch size: 15
 17:56:32,993 INFO  [org.hibernate.cfg.SettingsFactory] JDBC batch updates for versioned data: disabled
 17:56:32,993 INFO  [org.hibernate.cfg.SettingsFactory] Scrollable result sets: enabled
 17:56:32,993 INFO  [org.hibernate.cfg.SettingsFactory] JDBC3 getGeneratedKeys(): enabled
 17:56:32,993 INFO  [org.hibernate.cfg.SettingsFactory] Connection release mode: auto
 17:56:32,994 INFO  [org.hibernate.cfg.SettingsFactory] Maximum outer join fetch depth: 2
 17:56:32,994 INFO  [org.hibernate.cfg.SettingsFactory] Default batch fetch size: 1
 17:56:32,994 INFO  [org.hibernate.cfg.SettingsFactory] Generate SQL with comments: disabled
 17:56:32,994 INFO  [org.hibernate.cfg.SettingsFactory] Order SQL updates by primary key: disabled
 17:56:32,994 INFO  [org.hibernate.cfg.SettingsFactory] Order SQL inserts for batching: disabled
 17:56:32,994 INFO  [org.hibernate.cfg.SettingsFactory] Query translator: org.hibernate.hql.ast.ASTQueryTranslatorFactory
 17:56:32,995 INFO  [org.hibernate.hql.ast.ASTQueryTranslatorFactory] Using ASTQueryTranslatorFactory
 17:56:32,995 INFO  [org.hibernate.cfg.SettingsFactory] Query language substitutions: {}
 17:56:32,995 INFO  [org.hibernate.cfg.SettingsFactory] JPA-QL strict compliance: disabled
 17:56:32,995 INFO  [org.hibernate.cfg.SettingsFactory] Second-level cache: enabled
 17:56:32,995 INFO  [org.hibernate.cfg.SettingsFactory] Query cache: disabled
 17:56:32,995 INFO  [org.hibernate.cfg.SettingsFactory] Cache region factory : org.hibernate.cache.impl.NoCachingRegionFactory
 17:56:32,996 INFO  [org.hibernate.cfg.SettingsFactory] Optimize cache for minimal puts: disabled
 17:56:32,996 INFO  [org.hibernate.cfg.SettingsFactory] Structured second-level cache entries: disabled
 17:56:32,998 INFO  [org.hibernate.cfg.SettingsFactory] Echoing all SQL to stdout
 17:56:32,999 INFO  [org.hibernate.cfg.SettingsFactory] Statistics: disabled
 17:56:32,999 INFO  [org.hibernate.cfg.SettingsFactory] Deleted entity synthetic identifier rollback: disabled
 17:56:32,999 INFO  [org.hibernate.cfg.SettingsFactory] Default entity-mode: pojo
 17:56:32,999 INFO  [org.hibernate.cfg.SettingsFactory] Named query checking : enabled
 17:56:33,026 INFO  [org.hibernate.impl.SessionFactoryImpl] building session factory
 17:56:33,166 INFO  [org.hibernate.impl.SessionFactoryObjectFactory] Not binding factory to JNDI, no JNDI name configured
 
